Transcript Sense_junction_reads Antisense_junction_reads
BL18222_evm3 2 0
BL18235_cuf2 3 0
BL18312_cuf0 2 0
BL18316_evm0 1 0
BL18388_evm1 1 0
BL18422_cuf0 1 0
BL18435_cuf2 1 0
BL18471_cuf1 2 0
BL18491_cuf4 1 0
BL18534_cuf1 1 0
BL18610_cuf30 2 0
BL18625_cuf0 1 0
BL18642_cuf0 1 0
BL18803_cuf0 1 0
BL18811_cuf1 4 0
BL18817_evm0 1 0
BL18905_cuf4 1 0
BL18944_cuf0 1 0
BL18947_cuf0 1 0
BL18964_cuf0 2 1
BL18965_cuf0 1 0
BL19029_cuf1 1 0
BL19062_cuf4 1 0
BL19223_cuf2 2 0
BL19234_evm4 1 0
BL19246_cuf2 1 0
BL19257_evm6 1 0
BL19274_evm1 1 0
BL19327_evm0 1 0
BL19342_cuf1 1 0
BL19435_evm0 2 0
BL19558_evm1 1 0
BL19666_cuf1 1 0
BL19670_cuf1 1 0
BL19751_evm0 1 0
BL19782_cuf3 2 0
BL19783_cuf2 1 0
BL19826_cuf0 2 0
BL19868_cuf0 1 0
BL19872_evm3 15 0
BL19890_cuf2 1 0
BL19927_cuf0 1 0
BL19978_cuf0 1 0
BL19988_evm0 1 0
BL20029_evm0 1 0
BL20275_cuf0 1 0
BL20324_cuf4 1 0
BL20400_evm0 5 0
BL20532_cuf4 1 1
BL20537_cuf0 1 0
BL20631_cuf0 1 0
BL20665_cuf0 1 0
BL20669_cuf0 1 0
BL20705_cuf0 1 0
BL20717_cuf0 1 0
BL20741_cuf0 1 0
BL20758_cuf0 1 0
BL20764_evm15 2 0
BL20807_cuf0 1 0
BL20822_cuf1 2 0
BL20860_cuf0 1 0
BL20864_evm4 1 0
BL20870_cuf1 1 0
BL20899_evm4 14 0
BL20968_cuf1 1 0
BL21023_evm0 1 0
BL21044_cuf1 1 0
BL21092_cuf0 1 0
BL21353_cuf1 3 0
BL21367_cuf1 2 0
BL21409_cuf2 1 0
BL21464_evm0 1 0
BL21505_cuf3 2 0
BL21513_cuf23 1 0
BL21565_cuf0 1 0
BL21604_cuf0 1 0
BL21612_evm0 1 0
