Transcript Sense_junction_reads Antisense_junction_reads
BL05385_cuf1 6 0
BL05397_evm8 1 0
BL05419_cuf8 10 0
BL05422_evm0 2 0
BL05423_cuf0 1 0
BL05425_cuf0 4 0
BL05432_cuf1 1 0
BL05445_cuf0 1 0
BL05463_evm0 1 0
BL05470_cuf0 1 0
BL05478_cuf0 2 0
BL05482_cuf0 2 0
BL05503_cuf3 6 0
BL05511_cuf0 1 0
BL05528_evm0 1 0
BL05546_evm0 1 0
BL05549_cuf1 1 0
BL05579_cuf2 2 0
BL05602_evm0 3 0
BL05604_cuf0 0 4
BL05605_cuf10 2 0
BL05611_evm10 1 0
BL05619_evm0 1 0
BL05621_cuf1 1 0
BL05635_evm0 2 0
BL05648_cuf30 1 0
BL05651_cuf0 1 0
BL05679_cuf11 1 0
BL05743_cuf0 1 0
BL05746_evm27 1 0
BL05763_cuf1 1 0
BL05775_cuf0 1 0
BL05814_cuf1 2 0
BL05828_cuf0 5 0
BL05839_cuf0 1 0
BL05851_cuf0 1 0
BL05867_cuf0 1 0
BL05870_cuf9 1 0
BL05879_cuf1 1 0
BL05896_cuf0 0 3
BL05899_cuf1 1 0
BL05900_evm1 5 0
BL05974_cuf0 2 0
BL05983_evm11 3 0
BL06041_evm0 1 0
BL06084_evm0 0 1
BL06103_evm1 1 0
BL06117_evm2 3 1
BL06132_cuf0 1 0
BL06134_evm0 1 0
BL06143_cuf3 1 0
BL06152_evm1 1 0
BL06168_evm26 4 0
BL06170_cuf1 1 0
BL06219_cuf4 1 0
BL06222_cuf1 1 0
BL06225_evm0 1 0
BL06260_cuf6 1 0
BL06284_evm1 40 0
BL06285_cuf1 1 0
BL06297_cuf0 3 0
BL06328_cuf8 1 0
BL06330_cuf8 1 0
BL06352_evm1 2 0
BL06356_cuf12 1 0
BL06362_cuf0 1 0
BL06394_evm0 1 0
BL06414_evm0 1 0
BL06434_cuf4 1 0
BL06452_evm0 5 0
BL06468_evm0 1 0
BL06507_cuf0 10 0
BL06542_cuf18 37 0
BL06545_cuf1 3 0
BL06552_cuf6 11 0
BL06613_evm17 2 0
BL06665_cuf2 1 0
BL06687_evm0 2 0
BL06718_cuf1 8 0
BL06741_cuf5 1 0
BL06775_cuf0 3 0
BL06776_cuf0 1 0
BL06778_cuf2 2 0
BL06817_cuf0 1 0
BL06853_cuf0 2 0
BL06862_cuf0 2 0
BL06867_cuf1 1 0
BL06871_cuf0 1 0
BL06874_cuf3 1 0
BL06883_cuf1 1 0
BL06945_evm19 1 0
BL06958_cuf0 27 0
BL06971_cuf0 2 0
BL07002_cuf5 1 0
BL07015_cuf0 1 0
BL07017_cuf3 1 0
BL07021_evm1 44 0
BL07036_cuf0 3 0
BL07083_evm0 2 0
BL07095_evm0 1 0
BL07098_evm0 0 1
BL07110_cuf1 2 0
BL07125_evm0 1 0
BL07126_evm0 13 0
BL07129_cuf1 1 0
BL07159_cuf0 1 0
BL07175_cuf2 1 0
BL07200_cuf0 2 0
BL07211_cuf1 0 1
BL07240_evm12 1 0
BL07245_evm9 1 0
BL07312_cuf1 2 0
BL07317_cuf7 1 0
BL07327_cuf1 1 0
BL07335_evm7 1 0
BL07338_cuf1 1 0
BL07377_cuf0 11 0
BL07382_cuf0 1 0
BL07420_evm0 1 0
BL07422_cuf0 4 0
BL07437_cuf0 0 10
BL07488_cuf0 1 0
BL07493_cuf0 1 0
BL07494_cuf0 2 0
BL07501_evm6 2 0
BL07502_cuf0 1 0
BL07509_cuf0 2 0
BL07514_cuf12 1 0
BL07569_cuf0 20 0
BL07623_evm0 4 0
BL07681_cuf2 1 0
BL07688_cuf4 30 0
BL07716_cuf0 2 0
BL07766_evm7 0 1
BL07787_cuf0 1 0
BL07815_cuf0 67 0
BL07842_cuf0 1 0
BL07877_evm0 1 0
BL07902_evm0 1 0
BL07912_evm6 1 0
BL07938_cuf10 1 0
BL07945_cuf1 1 0
BL07947_evm2 1 0
BL07949_evm16 2 0
BL08018_cuf9 21 0
BL08040_evm0 1 0
BL08057_cuf10 1 0
BL08086_cuf3 1 0
BL08110_evm0 3 0
BL08118_evm0 1 0
BL08150_cuf0 2 0
BL08155_evm2 1 0
BL08195_cuf3 1 0
BL08245_cuf3 1 0
BL08251_cuf0 1 0
BL08257_cuf3 2 0
BL08261_cuf2 1 0
BL08264_evm1 1 0
BL08277_cuf4 1 0
BL08293_cuf1 1 0
BL08298_cuf3 1 0
BL08304_evm0 1 0
BL08344_evm0 5 0
BL08348_cuf8 1 0
BL08380_evm0 1 0
BL08384_evm4 1 0
BL08387_cuf0 2 0
BL08395_cuf1 1 0
BL08399_evm4 1 0
BL08412_cuf3 3 0
BL08443_cuf0 1 0
BL08451_evm0 0 1
BL08477_evm0 1 0
BL08481_cuf4 1 0
BL08496_cuf3 36 0
BL08501_cuf2 2 0
BL08515_evm0 1 0
BL08528_cuf2 1 0
BL08532_cuf0 1 0
BL08553_cuf1 1 0
BL08555_cuf0 1 0
BL08577_evm5 1 0
BL08579_cuf0 1 0
BL08591_cuf0 1 0
BL08595_evm0 1 0
BL08617_evm1 1 0
BL08634_cuf9 1 0
BL08644_cuf0 1 0
BL08645_evm0 1 0
