Transcript Exonic_reads_sense Junction_reads_sense Exonic_reads_antisense Junction_reads_antisense
BL09327_cuf0 1 0 0 0
BL86905_cuf1 0 0 0 0
BL14814_evm0 0 0 0 0
BL28390_evm0 0 0 0 0
BL24659_cuf2 0 0 0 0
BL14888_evm1 0 10 0 0
BL14495_evm0 0 0 0 0
BL91516_cuf0 0 0 0 0
BL29549_evm0 0 0 0 0
BL18855_cuf0 1 0 0 0
BL52227_cuf0 0 0 0 0
BL01491_cuf0 0 1 0 0
BL10285_cuf0 0 0 0 0
BL24838_cuf0 1 0 0 0
BL27722_evm0 0 0 0 0
BL08403_cuf0 0 5 0 0
BL16938_cuf5 0 0 0 0
BL08297_evm0 0 0 0 0
BL95129_evm2 0 1 0 0
BL55530_cuf0 0 0 0 0
BL20865_cuf0 0 3 0 0
BL16024_evm0 0 0 0 0
BL63676_cuf1 0 0 0 0
BL21465_cuf3 0 0 0 0
BL09126_evm0 0 0 0 0
BL18947_cuf0 21 0 0 0
BL03086_cuf3 0 0 0 0
BL15187_evm0 2 0 0 0
BL10926_cuf1 1 0 0 0
BL05523_evm1 1 0 0 0
BL47415_cuf0 0 0 0 0
BL42509_cuf0 0 0 0 0
BL23071_evm0 3 0 0 0
BL96620_cuf1 0 0 0 0
BL23082_cuf4 0 0 0 0
BL40319_cuf0 0 0 0 0
BL30899_evm0 0 0 0 0
BL80492_cuf1 0 0 0 0
BL18135_cuf0 1 0 0 0
BL07683_evm2 0 0 0 0
BL26351_evm0 0 0 0 0
BL17166_cuf3 0 0 0 0
BL11314_cuf1 0 0 0 0
BL18609_cuf1 0 0 0 0
BL10339_cuf1 0 0 0 0
BL15663_cuf0 0 0 0 0
BL09885_cuf3 0 0 0 0
BL31754_evm0 0 0 0 0
BL21559_evm0 0 0 0 0
BL07759_cuf2 0 1 0 0
BL72335_cuf0 0 0 0 0
BL21600_cuf0 0 0 0 0
BL13182_cuf2 0 0 0 0
BL10754_cuf1 0 4 0 0
BL09117_cuf1 0 0 0 0
BL02292_cuf0 0 0 0 0
BL13745_cuf0 0 2 0 0
BL12039_cuf0 0 0 0 0
BL62117_cuf2 0 0 0 0
BL07723_cuf0 0 0 0 0
BL14917_cuf1 0 0 0 0
BL24366_cuf0 0 0 0 0
BL00515_cuf0 0 2 0 9
BL95890_evm1 3 1 0 0
BL18436_cuf5 0 0 0 0
BL95694_evm0 0 0 0 0
BL02093_evm0 4 0 0 0
BL13440_cuf0 0 0 0 0
BL22168_cuf0 1 0 0 0
BL26123_evm0 0 0 0 0
BL10910_cuf1 2 0 0 0
BL24217_evm2 0 0 0 0
BL05014_cuf9 0 1 0 0
BL07898_cuf1 8 0 0 0
BL02730_cuf0 0 1 0 0
BL37107_cuf0 0 0 0 0
BL26253_evm0 1 0 0 0
BL21964_cuf0 1 0 0 0
BL95392_evm0 0 0 0 0
BL17290_cuf0 1 0 0 0
BL23886_cuf0 0 0 0 0
BL07089_evm1 0 0 0 0
BL07817_cuf0 0 0 0 0
BL13405_cuf4 3 0 0 0
BL12982_evm1 0 0 2 0
BL95629_evm0 0 1 0 0
BL18018_evm3 0 0 0 0
BL40821_cuf0 0 0 0 0
BL62002_cuf0 0 0 0 0
BL48217_cuf0 0 0 0 0
BL11952_cuf3 1 0 0 0
BL04575_evm0 0 0 0 0
BL45119_cuf0 0 0 0 0
BL01935_cuf2 1 0 0 0
BL09130_evm0 0 0 0 0
BL31621_evm0 0 0 0 0
BL74941_cuf0 0 0 0 0
BL22578_cuf0 0 20 0 0
BL88922_cuf0 0 0 0 0
BL24638_evm0 0 0 0 0
BL15326_cuf0 0 0 0 0
BL21441_cuf1 0 0 0 0
BL97245_cuf4 0 0 0 0
BL06698_cuf0 3 0 0 0
BL22540_cuf0 0 2 0 0
BL97101_cuf7 0 0 0 0
BL27279_evm0 0 0 0 0
BL08499_cuf8 0 0 0 0
BL40182_cuf0 0 0 0 0
BL96063_evm0 1 0 0 0
BL96186_cuf2 0 0 0 0
BL30065_evm2 0 0 0 0
BL10904_evm1 1 0 0 0
BL69802_cuf0 0 0 0 0
BL82964_cuf0 0 0 0 0
BL17426_evm0 0 0 0 0
BL07485_cuf0 1 0 0 0
BL15183_cuf5 2 0 1 0
BL71155_cuf1 0 0 0 0
BL00223_cuf0 0 0 0 0
BL19815_cuf0 1 0 0 0
BL04413_cuf0 0 0 0 0
BL02839_evm0 0 0 0 0
BL62794_cuf0 0 0 0 0
BL13094_cuf0 2 0 0 0
BL08039_cuf2 0 2 0 0
BL06267_cuf0 0 0 0 0
BL01112_evm0 0 0 0 0
BL17342_cuf0 1 0 0 0
BL22750_evm0 0 0 0 0
BL12069_cuf2 0 0 0 0
BL13342_cuf0 7 0 0 0
BL41649_cuf1 0 0 0 0
BL97110_cuf2 0 0 13 0
BL23518_cuf0 1 0 0 0
BL74743_cuf0 0 0 0 0
BL27595_evm0 0 0 0 0
BL20505_evm1 0 0 0 0
BL18069_cuf0 0 3 0 0
BL03505_cuf3 0 0 0 0
BL19090_cuf1 0 0 0 0
BL01366_cuf6 0 0 0 0
BL08665_cuf0 1 0 0 0
BL10350_cuf0 0 0 0 0
BL32117_evm0 0 0 0 0
BL06817_cuf0 3 0 0 0
BL76831_cuf0 0 0 0 0
BL21401_cuf1 0 0 0 0
BL02352_evm1 0 0 0 0
BL95569_evm1 0 0 0 0
BL20062_cuf1 0 0 0 0
BL03434_cuf0 0 0 0 0
BL09783_cuf2 0 0 0 0
BL07862_cuf2 0 0 0 0
BL96391_cuf70 0 8 0 0
BL97431_cuf1 0 0 0 0
BL14802_cuf0 0 0 0 0
BL17768_cuf0 0 0 0 0
BL24914_cuf0 0 0 0 0
BL18834_cuf5 1 0 0 0
BL12566_evm0 0 0 0 0
BL13209_evm2 0 0 0 0
BL89886_cuf1 0 0 0 0
BL10320_evm0 0 0 0 0
BL26271_evm0 0 0 0 0
BL11722_cuf3 7 0 0 0
BL18552_evm0 0 1 0 0
BL20224_cuf0 0 0 0 0
BL16631_evm1 0 0 0 0
BL01512_cuf2 0 0 0 0
BL97324_cuf8 0 0 0 0
BL21282_cuf2 0 0 0 0
BL77892_cuf0 0 0 0 0
BL30771_evm0 0 0 0 0
BL29117_evm0 0 0 0 0
BL96101_evm1 0 0 0 0
BL95611_evm0 0 0 0 0
BL01716_evm0 0 0 0 0
BL07657_evm0 2 0 0 0
BL17299_cuf0 0 0 0 0
BL06986_cuf0 0 2 0 0
BL09189_evm1 4 2 0 0
BL87523_cuf0 0 0 0 0
BL22328_cuf0 0 0 0 0
BL27895_evm0 0 0 0 0
BL29578_evm0 0 0 0 0
BL02626_cuf5 0 0 0 0
BL08698_cuf0 3 0 0 0
BL11771_cuf0 0 0 0 0
BL74574_cuf0 0 0 0 0
BL61372_cuf5 1 0 0 0
BL81731_cuf3 0 2 0 0
BL31634_evm0 0 0 0 0
BL08842_cuf0 0 0 0 0
BL14457_cuf0 0 0 0 0
BL13883_cuf1 0 0 0 0
BL12346_cuf0 0 0 0 0
BL03632_evm1 0 0 0 0
BL54243_cuf0 0 0 0 0
BL46262_cuf0 0 0 0 0
BL14515_cuf0 0 0 0 0
BL14535_evm0 0 0 0 0
BL14442_cuf2 0 3 0 0
BL97371_cuf0 2 0 0 0
BL67337_cuf1 0 0 0 0
BL20372_cuf2 0 0 0 0
BL17331_cuf1 1 0 0 0
BL14966_cuf0 0 1 0 0
BL16319_cuf0 4 0 0 0
BL96387_cuf66 0 7 0 0
BL24313_cuf0 0 0 0 0
BL04979_cuf1 0 0 0 0
BL48418_cuf0 0 0 0 0
BL20466_cuf1 0 0 0 0
BL11018_evm0 0 0 0 0
BL84242_cuf0 0 0 0 0
BL21774_cuf0 0 3 0 0
BL97295_cuf3 0 0 0 0
BL07648_evm0 0 0 0 0
BL05438_cuf1 0 0 0 0
BL05419_cuf8 0 41 0 0
BL24716_cuf0 0 0 0 0
BL24856_evm0 0 0 0 0
BL11964_cuf0 0 0 0 0
BL39816_cuf0 0 0 0 0
BL02705_evm0 0 0 0 0
BL02049_cuf1 0 17 0 0
BL08620_evm3 1 0 0 0
BL02654_cuf3 0 0 0 0
BL09032_cuf1 1 0 0 0
BL41400_cuf0 0 0 0 0
BL11837_cuf0 0 0 0 0
BL32214_evm0 0 0 0 0
BL15301_evm1 2 0 0 0
BL97294_cuf2 0 0 0 0
BL21389_evm20 1 0 0 0
BL29284_evm0 0 0 0 0
BL32023_evm0 0 1 0 0
BL96313_cuf3 0 0 0 0
BL18560_cuf10 0 0 0 0
BL29097_evm0 0 0 0 0
BL13341_cuf8 0 21 0 0
BL03266_evm1 0 0 0 0
BL07936_cuf0 0 0 0 0
BL01149_cuf8 0 0 0 0
BL09818_cuf2 0 0 0 0
BL09041_cuf0 0 0 0 0
BL01138_evm5 0 0 0 0
BL26798_evm0 0 0 0 0
BL59827_cuf1 0 0 0 0
BL27625_evm0 0 0 0 0
BL19688_cuf2 0 0 0 0
BL38529_cuf0 1 0 0 0
BL13707_cuf0 1 0 0 0
BL53289_cuf0 0 0 0 0
BL11636_cuf1 0 0 0 0
BL17549_cuf0 0 0 0 0
BL11245_evm1 0 0 0 0
BL06590_evm0 0 1 0 0
BL10211_evm0 0 0 0 0
BL02691_evm0 0 0 0 0
BL25756_evm0 0 0 0 0
BL95338_evm3 0 0 0 0
BL58561_cuf0 0 4 0 0
BL06885_cuf0 0 0 0 0
BL05991_cuf6 1 0 0 0
BL05614_evm2 0 0 0 0
BL76450_cuf0 0 0 0 0
BL05322_cuf2 0 0 0 0
BL01354_cuf0 0 1 0 0
BL42699_cuf1 0 0 0 0
BL95084_evm0 0 0 0 0
BL86244_cuf1 0 0 0 0
BL96265_cuf4 0 0 0 0
BL10349_evm1 0 0 0 0
BL83632_cuf0 0 0 0 0
BL16700_evm0 0 0 0 0
BL24727_cuf0 0 0 0 0
BL06791_cuf0 0 0 0 0
BL23112_cuf6 0 0 0 0
BL19981_cuf1 0 2 0 0
BL22051_cuf1 0 0 0 0
BL23315_cuf6 0 3 0 0
BL20523_cuf2 0 0 0 0
BL00608_evm3 0 0 0 0
BL18040_cuf0 0 1 0 0
BL09463_cuf1 1 0 0 0
BL09687_cuf1 1 0 0 0
BL31429_evm0 0 0 0 0
BL03287_cuf0 0 0 0 0
BL38931_cuf1 0 0 0 0
BL95987_evm1 1 0 0 0
BL07281_evm0 0 0 0 0
BL86311_cuf0 0 0 0 0
BL29105_evm0 0 3 0 0
BL09268_cuf0 0 0 0 0
BL17393_cuf2 0 0 0 0
BL10890_cuf0 0 0 0 0
BL76155_cuf1 0 0 0 0
BL02750_evm3 0 0 0 0
BL09517_cuf4 0 0 0 0
BL01267_cuf1 0 0 0 0
BL25838_evm0 0 0 0 0
BL96685_cuf6 0 1 0 0
BL96389_cuf68 0 3 0 0
BL24686_cuf1 1 0 0 0
BL00552_cuf0 0 0 0 0
BL97026_cuf0 0 0 0 0
BL14364_cuf14 4 0 0 0
BL15600_evm0 2 0 0 0
BL74918_cuf0 0 0 0 0
BL58775_cuf0 0 0 0 0
BL15223_evm0 0 0 0 0
BL18863_cuf0 0 0 0 0
BL17339_cuf0 0 0 0 0
BL02487_evm0 1 0 0 0
BL07465_evm0 0 0 0 0
BL18903_cuf1 0 0 0 0
BL06713_evm0 0 0 0 0
BL96907_cuf1 0 0 0 0
BL27790_evm0 0 0 0 0
BL97359_cuf1 1 0 0 0
BL02761_cuf0 3 0 0 0
BL77008_cuf0 0 0 0 0
BL00970_cuf1 0 0 0 0
BL17951_cuf0 0 0 0 0
BL09251_cuf1 0 0 0 0
BL05956_evm0 0 0 0 0
BL14570_evm1 2 0 0 0
BL14102_cuf2 0 0 0 0
BL15565_evm1 3 0 0 0
BL13438_cuf3 0 0 0 0
BL97208_cuf8 0 0 0 0
BL08256_cuf1 0 0 0 0
BL11565_cuf0 0 0 0 0
BL17395_evm5 0 0 0 0
BL14982_cuf1 0 0 0 0
BL22224_cuf0 0 0 0 0
BL08566_cuf1 0 0 0 0
BL19099_cuf1 1 0 0 0
BL90871_cuf0 0 0 0 0
BL09286_evm4 2 0 0 0
BL40552_cuf0 0 0 0 0
BL03773_cuf0 0 0 0 0
BL45598_cuf0 0 0 0 0
BL18944_cuf0 7 0 0 0
BL14680_cuf0 0 2 0 0
BL77265_cuf4 0 0 0 0
BL07850_cuf0 0 1 0 0
BL08843_cuf1 0 0 0 0
BL22737_evm0 0 0 0 0
BL13776_evm0 0 0 0 0
BL11954_cuf0 0 0 0 0
BL06701_cuf6 0 0 0 0
BL96315_cuf5 0 0 0 0
BL13906_cuf0 0 0 0 0
BL11198_cuf0 1 0 0 0
BL18139_cuf0 0 0 0 0
BL30126_evm0 0 0 0 0
BL12097_evm0 0 0 0 0
BL96597_cuf16 7 0 0 0
BL04570_evm0 0 0 0 0
BL19686_evm0 0 2 0 0
BL23586_evm5 3 1 0 0
BL95851_evm1 1 0 0 0
BL12429_cuf2 0 0 0 0
BL15180_cuf0 0 0 0 0
BL28007_evm0 0 0 0 0
BL19770_cuf0 0 0 0 0
BL24269_evm0 0 0 0 0
BL29230_evm0 0 0 0 0
BL17441_evm0 0 0 0 0
BL30540_evm0 0 0 0 0
BL09835_cuf10 0 0 0 0
BL09702_evm1 0 0 0 0
BL65209_cuf0 0 0 0 0
BL97206_cuf20 12 5 0 0
BL14573_cuf0 0 0 0 0
BL46614_cuf0 0 0 0 0
BL08137_evm7 2 0 0 0
BL48029_cuf4 0 0 0 0
BL97022_cuf1 3 2 0 0
BL66060_cuf0 0 0 0 0
BL74130_cuf0 0 0 0 0
BL03637_evm0 0 0 0 0
BL03940_cuf1 28 4 0 0
BL21062_cuf1 0 0 0 0
BL09053_cuf0 1 0 0 0
BL96938_cuf4 1 0 0 0
BL33378_cuf0 0 3 0 0
BL10821_cuf0 0 0 0 0
BL27513_evm0 0 0 0 0
BL22456_cuf1 0 0 0 0
BL10083_cuf1 0 0 0 0
BL13770_cuf8 0 0 0 0
BL05749_cuf0 3 0 0 0
BL59021_cuf0 0 0 0 0
BL03980_evm0 0 0 0 0
BL09879_cuf0 0 0 0 0
BL01010_evm0 0 0 0 0
BL05332_evm1 0 0 0 0
BL11171_evm0 0 0 0 0
BL11752_evm0 0 0 0 0
BL06110_evm0 0 0 0 0
BL88540_cuf0 0 0 0 0
BL07710_cuf0 1 0 0 0
BL96445_cuf0 0 1 0 0
BL26161_evm0 0 0 0 0
BL22753_cuf1 0 0 0 0
BL03053_cuf4 0 1 0 0
BL30079_evm0 0 0 0 0
BL67763_cuf0 0 0 0 0
BL00873_cuf4 0 0 0 0
BL21161_cuf0 0 0 0 0
BL07440_cuf11 0 1 0 0
BL46878_cuf0 0 0 0 0
BL19446_cuf1 0 0 0 0
BL13300_cuf6 0 2 0 0
BL13245_cuf3 0 0 0 0
BL96368_cuf0 0 0 0 0
BL06911_cuf0 0 0 0 0
BL00154_cuf2 1 0 0 0
BL81405_cuf1 0 0 1 0
BL58753_cuf1 0 0 0 0
BL12814_cuf1 0 0 0 0
BL17679_evm5 0 0 0 0
BL24663_cuf5 0 4 0 0
BL14551_cuf0 0 0 0 0
BL28493_evm0 0 0 0 0
BL24970_cuf0 0 0 0 0
BL41458_cuf0 0 0 0 0
BL24049_cuf3 0 0 0 0
BL06125_cuf1 0 0 0 0
BL09935_cuf1 0 0 0 0
BL23783_evm0 0 0 0 0
BL50483_cuf0 0 0 0 0
BL01217_evm0 0 0 0 0
BL21122_cuf5 0 0 0 0
BL00886_cuf3 1 0 0 0
BL03104_cuf4 0 2 0 0
BL23487_cuf0 0 0 0 0
BL15072_evm0 0 0 0 0
BL02273_evm0 0 0 0 0
BL90273_cuf0 0 0 0 0
BL59589_cuf0 0 0 0 0
BL16276_evm0 0 0 0 0
BL17533_cuf11 0 0 0 0
BL18233_cuf1 0 0 0 0
BL14693_cuf0 11 0 0 0
BL15583_evm0 0 0 0 0
BL23692_cuf13 0 1 0 0
BL49824_cuf0 0 0 0 0
BL03011_cuf1 0 0 0 0
BL28616_evm0 0 0 0 0
BL39843_cuf0 0 0 0 0
BL95606_evm0 0 0 0 0
BL05777_cuf4 0 0 0 0
BL14972_cuf0 0 1 0 0
BL01836_evm0 0 0 0 0
BL11402_evm0 1 0 0 0
BL95261_evm1 0 0 0 0
BL13965_cuf1 0 1 0 0
BL06307_cuf5 0 0 0 0
BL21110_cuf0 0 0 0 0
BL04875_cuf1 0 1 0 0
BL22610_cuf0 0 0 0 0
BL16923_cuf1 0 6 0 0
BL39846_cuf0 0 4 0 0
BL11994_evm0 0 0 0 0
BL01295_evm1 0 18 0 0
BL95424_evm1 0 0 0 0
BL09545_evm0 0 0 0 0
BL03198_cuf0 0 0 0 0
BL19743_cuf0 0 0 0 0
BL95095_evm1 0 1 0 0
BL89092_cuf0 0 0 0 0
BL27594_evm0 0 0 0 0
BL14886_evm2 0 0 0 0
BL87701_cuf0 0 0 0 0
BL10246_evm0 0 1 0 0
BL01054_cuf5 0 1 0 0
BL26227_evm0 0 0 0 0
BL87823_cuf0 0 0 0 0
BL24013_cuf0 0 0 0 0
BL01855_evm0 0 0 0 0
BL05147_evm9 0 0 0 0
BL96717_cuf0 0 0 0 0
BL32001_evm0 0 0 0 0
BL07187_cuf0 4 0 0 0
BL68551_cuf0 0 0 0 0
BL04515_cuf0 2 0 0 0
BL95306_evm0 1 0 0 0
BL17640_cuf1 0 0 0 0
BL22257_evm0 2 0 0 0
BL09061_cuf0 0 0 0 0
BL75791_cuf0 0 3 0 0
BL20264_cuf1 0 0 0 0
BL56323_cuf1 0 0 0 0
BL13017_cuf2 0 1 0 0
BL97420_cuf7 0 0 0 0
BL15822_cuf7 0 1 0 0
BL21234_cuf0 2 0 0 0
BL75740_cuf0 0 0 0 0
BL12529_evm1 0 1 0 0
BL13181_evm2 0 0 0 0
BL17162_cuf0 0 0 0 0
BL02953_cuf1 0 0 0 0
BL13582_cuf0 0 0 0 0
BL20896_cuf2 0 0 0 0
BL14939_evm0 0 0 0 0
BL33374_cuf0 0 1 0 0
BL24973_cuf0 0 0 0 0
BL17253_cuf1 0 0 0 0
BL38606_cuf13 0 0 0 0
BL63519_cuf0 0 0 0 0
BL17724_evm0 0 0 0 0
BL00481_evm3 0 0 0 0
BL25786_evm0 0 0 0 0
BL19277_evm0 0 0 0 0
BL23454_cuf0 0 0 0 0
BL15357_evm0 0 0 0 0
BL42124_cuf0 0 0 0 0
