#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	Assemblies
Tupaia chinensis	Eukaryota	Animals	Mammals	2846.58	-	-	-	1
Tursiops truncatus	Eukaryota	Animals	Mammals	2132.52	-	1	-	2
Tympanoctomys barrerae	Eukaryota	Animals	Mammals	2651.63	-	-	-	1
Tympanuchus cupido	Eukaryota	Animals	Birds	983.777	-	-	-	1
Tyto alba	Eukaryota	Animals	Birds	1120.14	-	-	-	1
unclassified Sarcophagidae	Eukaryota	Animals	Insects	494.581	-	-	-	1
unclassified Trichoceridae	Eukaryota	Animals	Insects	41.7116	-	-	-	1
Uria lomvia	Eukaryota	Animals	Birds	1179.36	-	-	-	1
Urile pelagicus	Eukaryota	Animals	Birds	1210.66	-	-	-	1
Ursus arctos	Eukaryota	Animals	Mammals	0.775393	-	-	-	1
Ursus maritimus	Eukaryota	Animals	Mammals	2301.38	-	1	-	1
Varroa destructor	Eukaryota	Animals	Other Animals	368.942	-	1	-	2
Varroa jacobsoni	Eukaryota	Animals	Other Animals	365.586	-	-	-	1
Vicugna pacos	Eukaryota	Animals	Mammals	2172.21	-	1	-	2
Vipera berus	Eukaryota	Animals	Reptiles	1532.39	-	-	-	1
Vollenhovia emeryi	Eukaryota	Animals	Insects	287.901	-	-	-	1
Wasmannia auropunctata	Eukaryota	Animals	Insects	324.12	-	-	-	1
Wuchereria bancrofti	Eukaryota	Animals	Roundworms	90.3251	-	-	-	3
Xenopus laevis	Eukaryota	Animals	Amphibians	2718.43	18	1	-	1
Xenopus tropicalis	Eukaryota	Animals	Amphibians	1440.4	10	1	-	1
Xiphophorus couchianus	Eukaryota	Animals	Fishes	708.396	-	-	-	1
Xiphophorus hellerii	Eukaryota	Animals	Fishes	733.802	-	-	-	1
Xiphophorus maculatus	Eukaryota	Animals	Fishes	729.664	-	1	-	1
Zaprionus indianus	Eukaryota	Animals	Insects	123.675	-	-	-	1
Zeugodacus cucurbitae	Eukaryota	Animals	Insects	374.82	-	1	-	1
Zonotrichia albicollis	Eukaryota	Animals	Birds	1052.6	-	-	-	1
Zootermopsis nevadensis	Eukaryota	Animals	Insects	485.025	-	1	-	1
Zosterops lateralis	Eukaryota	Animals	Birds	1036	-	-	-	1
